key,name,other_names,annotation,notes
juno,Juno,,"Juno era la principal diosa del panteón romano y esposa de Júpiter. Era protectora del matrimonio, la maternidad y las mujeres.",
venus,Venus,,"Venus era la diosa romana del amor, la belleza y la fertilidad",
jupiter,Júpiter,,"Júpiter era el dios supremo del panteón romano, asociado al cielo, el rayo y la autoridad soberana.",
eolo,Eolo,,"Eolo era el dios de los vientos en la mitología romana, encargado de controlar y liberar los vientos según las órdenes de los dioses.",
marte,Marte,,"Marte era el dios romano de la guerra, la violencia y la fuerza militar.",
prosperina,Prosperina,,"Prosperina, en la mitología romana, era la diosa de la primavera y la fertilidad, asociada al ciclo de la vegetación.",
palas,Palas,,"Palas era la diosa romana de la sabiduría, la estrategia y las artes.",
penelope,Penélope,,"Penélope es la fiel esposa de Ulises, conocida por su astucia y paciencia. Durante la larga ausencia de su esposo, resistió las presiones de los pretendientes y mantuvo la esperanza de su regreso.",
pluton,Plutón,,"Plutón era el dios romano del inframundo y de los muertos, encargado de gobernar sobre el reino subterráneo.",
radamante,Rhadamante,,"Rhadamante era uno de los tres jueces del inframundo en la mitología griega, encargado de juzgar a las almas de los muertos.",
caron,Carón,,"Carón (o Charón) era el barquero del inframundo en la mitología romana, encargado de transportar las almas de los muertos a través del río Estigia.",
ulises,Ulises,,"Ulises, también conocido como Odiseo en la mitología griega, es el héroe protagonista de la Odisea de Homero.",
apolo,Apolo,,"Apolo era el dios del sol, la música, la poesía, la profecía y la medicina. Hijo de Júpiter y Latona, se le asociaba con la armonía y la belleza, además de ser un protector de las artes y las disciplinas intelectuales.",
orfeo,Orfeo,,"Orfeo, en la mitología griega, era un músico y poeta excepcional cuya música tenía el poder de encantar a humanos, animales e incluso a los dioses.",
telemaco,Telémaco,,Telémaco era el hijo de Ulises y Penélope en la mitología griega.,
mariana,Juan de Mariana,,"Juan de Mariana fue un jesuita, teólogo, historiador y filósofo político español del siglo XVI, conocido por su Historia de España y sus ideas políticas y económicas. Nació en Talavera de la Reina en 1536 y falleció en Toledo en 1624.",
dimas,Dimas,,"Según la tradición cristiana, Dimas, el ""ladrón justo"", se arrepintió de sus pecados y pidió a Jesús ser recordado en su reino.",
gestas,Gestas,,"Gestas, el ""ladrón malvado"", rechazó el arrepentimiento y continuó su burla hacia Jesús.",
